"IBGE6","Area"
"110120",798.083
"110170",831.857
"110040",2651.991
"110045",3265.81
"110175",3135.106
"110180",965.676
"110050",843.446
"110149",10948.593
"110014",1703.008
"110015",1969.879
"110147",605.692
"110148",541.647
"110018",6241.019
"110150",4444.017
"110020",34091.146
"110025",1758.464
"110155",459.935
"110028",1457.812
"110029",1197.796
"110026",1717.64
"110032",6789.605
"110160",2197.413
"110033",10070.49
"110030",11708.579
"110037",3958.273
"110034",3029.189
"110080",6843.673
"110130",1191.875
"110001",7067.127
"110004",3793
"110005",2783.297
"110002",4426.143
"110003",1314.352
"110008",4987.177
"110009",4518.038
"110006",1451.063
"110007",3060.321
"110092",5117.29
"110090",892.841
"110094",3863.946
"110012",6896.649
"110013",8509.27
"110140",1931.378
"110010",24856.877
"110145",2548.683
"110011",2944.14
"110146",6014.733
"110143",807.14
"110100",5067.384
"110060",1962.026
"110110",4081.581
"110070",3442.005
"120060",20169.485
"120070",5350.3
"120035",8185.635
"120033",5414.07
"120034",10578.248
"120039",6452.756
"120038",1952.531
"120040",8834.831
"120043",6222.34
"120042",3082.398
"120050",23732.205
"120010",3928.82
"120013",3035.547
"120017",1705.236
"120020",8793.341
"120025",1652.715
"120032",5346.443
"120030",27946.605
"120080",2603.942
"120001",1811.621
"120005",4962.946
"120045",2320.946
"130115",2627.474
"130370",12382.38
"130070",21938.583
"130423",6447.227
"130420",23692.621
"130426",10275.559
"130165",7583.534
"130030",7652.852
"130210",55770.475
"130340",5956.048
"130170",33111.129
"130040",122445.039
"130220",19438.805
"130350",41624.664
"130353",25459.099
"130180",12109.779
"130356",5815.622
"130140",14966.241
"130050",5751.765
"130400",3723.382
"130270",48315.038
"130406",3259.543
"130010",6036.019
"130014",54240.544
"130320",37776.664
"130150",7505.794
"130020",76504.215
"130200",4335.075
"130330",41179.656
"130160",12156.034
"130290",39991.067
"130120",57970.785
"130250",7336.578
"130255",3973.258
"130380",108712.655
"130083",9455.539
"130080",44236.184
"130430",27924.574
"130260",11401.002
"130130",18701.074
"130390",19658.536
"130002",5922.884
"130090",33642.732
"130006",4754.109
"130395",10647.463
"130310",5578.132
"130440",2863.889
