"IBGE6","Municipality","State","Region"
"110001","Alta Floresta D'oeste","Rondônia","Norte"
"110002","Ariquemes","Rondônia","Norte"
"110003","Cabixi","Rondônia","Norte"
"110004","Cacoal","Rondônia","Norte"
"110005","Cerejeiras","Rondônia","Norte"
"110006","Colorado Do Oeste","Rondônia","Norte"
"110007","Corumbiara","Rondônia","Norte"
"110008","Costa Marques","Rondônia","Norte"
"110009","Espigão D'oeste","Rondônia","Norte"
"110010","Guajará-Mirim","Rondônia","Norte"
"110011","Jaru","Rondônia","Norte"
"110012","Ji-Paraná","Rondônia","Norte"
"110013","Machadinho D'oeste","Rondônia","Norte"
"110014","Nova Brasilândia D'oeste","Rondônia","Norte"
"110015","Ouro Preto Do Oeste","Rondônia","Norte"
"110018","Pimenta Bueno","Rondônia","Norte"
"110020","Porto Velho","Rondônia","Norte"
"110025","Presidente Médici","Rondônia","Norte"
"110026","Rio Crespo","Rondônia","Norte"
"110028","Rolim De Moura","Rondônia","Norte"
"110029","Santa Luzia D'oeste","Rondônia","Norte"
"110030","Vilhena","Rondônia","Norte"
"110032","São Miguel Do Guaporé","Rondônia","Norte"
"110033","Nova Mamoré","Rondônia","Norte"
"110034","Alvorada D'oeste","Rondônia","Norte"
"110037","Alto Alegre Dos Parecis","Rondônia","Norte"
"110040","Alto Paraíso","Rondônia","Norte"
"110045","Buritis","Rondônia","Norte"
"110050","Novo Horizonte Do Oeste","Rondônia","Norte"
"110060","Cacaulândia","Rondônia","Norte"
"110070","Campo Novo De Rondônia","Rondônia","Norte"
"110080","Candeias Do Jamari","Rondônia","Norte"
"110090","Castanheiras","Rondônia","Norte"
"110092","Chupinguaia","Rondônia","Norte"
"110094","Cujubim","Rondônia","Norte"
"110100","Governador Jorge Teixeira","Rondônia","Norte"
"110110","Itapuã Do Oeste","Rondônia","Norte"
"110120","Ministro Andreazza","Rondônia","Norte"
"110130","Mirante Da Serra","Rondônia","Norte"
"110140","Monte Negro","Rondônia","Norte"
"110143","Nova União","Rondônia","Norte"
"110145","Parecis","Rondônia","Norte"
"110146","Pimenteiras Do Oeste","Rondônia","Norte"
"110147","Primavera De Rondônia","Rondônia","Norte"
"110148","São Felipe D'oeste","Rondônia","Norte"
"110149","São Francisco Do Guaporé","Rondônia","Norte"
"110150","Seringueiras","Rondônia","Norte"
"110155","Teixeirópolis","Rondônia","Norte"
"110160","Theobroma","Rondônia","Norte"
"110170","Urupá","Rondônia","Norte"
"110175","Vale Do Anari","Rondônia","Norte"
"110180","Vale Do Paraíso","Rondônia","Norte"
"120001","Acrelândia","Acre","Norte"
"120005","Assis Brasil","Acre","Norte"
"120010","Brasiléia","Acre","Norte"
"120013","Bujari","Acre","Norte"
"120017","Capixaba","Acre","Norte"
"120020","Cruzeiro Do Sul","Acre","Norte"
"120025","Epitaciolândia","Acre","Norte"
"120030","Feijó","Acre","Norte"
