"IBGE6","Population","Year"
110001,24238,2017
110002,101559,2017
110003,6186,2017
110004,89662,2017
110005,17337,2017
110006,18075,2017
110007,8553,2017
110008,14101,2017
110009,31552,2017
110010,43698,2017
110011,55098,2017
110012,130861,2017
110013,33600,2017
110014,18598,2017
110015,39420,2017
110018,37242,2017
110020,483050,2017
110025,21953,2017
110026,3615,2017
110028,57518,2017
110029,8566,2017
110030,93101,2017
110032,22123,2017
110033,25915,2017
110034,15699,2017
110037,12864,2017
110040,17718,2017
110045,32606,2017
110050,9326,2017
110060,5090,2017
110070,11110,2017
110080,22435,2017
110090,3583,2017
110092,9413,2017
110094,16283,2017
110100,9635,2017
110110,9109,2017
110120,8595,2017
110130,11053,2017
110140,13519,2017
110143,7236,2017
110145,4722,2017
110146,2359,2017
110147,3444,2017
110148,5963,2017
110149,17255,2017
110150,13064,2017
110155,4815,2017
110160,9770,2017
110170,12494,2017
110175,9070,2017
110180,7717,2017
120001,14040,2017
120005,7478,2017
120010,25229,2017
120013,11220,2017
120017,10210,2017
120020,92713,2017
120025,17889,2017
120030,36980,2017
120032,8437,2017
120033,18517,2017
120034,10536,2017
120035,16997,2017
120038,17921,2017
120039,10798,2017
120040,380458,2017
120042,15799,2017
120043,5952,2017
120045,22178,2017
120050,43109,2017
120060,43101,2017
120070,18194,2017
120080,16740,2017
130002,15891,2017
130006,10587,2017
130008,10483,2017
130010,17631,2017
130014,20246,2017
130020,15855,2017
130030,39149,2017
130040,21754,2017
130050,31436,2017
130060,38070,2017
130063,19071,2017
130068,20150,2017
130070,35318,2017
130080,36035,2017
130083,12938,2017
130090,16112,2017
130100,29236,2017
130110,33430,2017
130115,22171,2017
130120,77091,2017
130130,24247,2017
130140,34341,2017
130150,17620,2017
130160,26107,2017
130165,14659,2017
130170,53638,2017
130180,24648,2017
130185,53784,2017
130190,102177,2017
130195,9958,2017
130200,9675,2017
130210,8407,2017
130220,11367,2017
130230,23218,2017
130240,44030,2017
130250,99813,2017
130255,20082,2017
130260,2087729,2017
130270,53032,2017
130280,16949,2017
130290,60175,2017
130300,20050,2017
130310,30001,2017
130320,15996,2017
130330,23590,2017
130340,105620,2017
130350,19810,2017
130353,30782,2017
130356,26213,2017
130360,16486,2017
130370,27800,2017
130380,46822,2017
130390,33842,2017
130395,11790,2017
130400,10569,2017
130406,63071,2017
130410,19786,2017
130420,71631,2017
130423,18950,2017
130426,13980,2017
130430,18901,2017
130440,22332,2017
140002,11939,2017
140005,19071,2017
140010,364880,2017
140015,12789,2017
140017,16678,2017
140020,19986,2017
140023,9652,2017
140028,9509,2017
140030,16777,2017
140040,11802,2017
140045,15106,2017
140047,29433,2017
140050,8030,2017
140060,7069,2017
140070,11292,2017
150010,158323,2017
150013,6742,2017
150020,59525,2017
150030,38502,2017
150034,21656,2017
150040,63934,2017
150050,35787,2017
150060,118615,2017
150070,27954,2017
150080,500156,2017
150085,27254,2017
150090,45511,2017
150095,26061,2017
150100,17700,2017
150110,29174,2017
150120,47444,2017
150125,3925,2017
150130,119409,2017
